gene_id	antibody_id
CANX	CAB004738
PTPRB	CAB004782
ANXA11	CAB004851
ALOX15	CAB004962
ALOX15	CAB004963
CA3	CAB004967
TUBA3D	CAB004972
PSMA4	CAB004973
NNT	CAB004975
VPS25	CAB004978
ENOPH1	CAB004985
NPEPL1	CAB004986
UBE2M	CAB004993
DNAJB4	CAB004995
ASB9	CAB004997
PGM3	CAB004998
MEIS2	CAB004999
TEX264	CAB005002
SNUPN	CAB005004
PPP1R13L	CAB005016
HDAC1	CAB005017
GRK2	CAB005021
PRKAR2A	CAB005023
BAK1	CAB005029
RELA	CAB005030
EIF4EBP1	CAB005032
FYN	CAB005034
PLAA	CAB005035
CRP	CAB005036
EIF4EBP1	CAB005039
EIF5A	CAB005042
PPP1R14A	CAB005044
PRKAA1	CAB005050
RHOA	CAB005052
HDAC2	CAB005054
PRKAB1	CAB005058
NCK1	CAB005063
YWHAZ	CAB005065
CCL21	CAB005067
ADCY4	CAB005070
AHR	CAB005072
ANXA4	CAB005076
ANXA6	CAB005077
AQP4	CAB005079
ARFIP1	CAB005080
ARNT2	CAB005081
ACTR2	CAB005083
ACTR3	CAB005085
BLK	CAB005093
CA9	CAB005100
CXADR	CAB005103
CDC34	CAB005109
CEBPE	CAB005113
MAP3K8	CAB005120
CTGF	CAB005123
CYCS	CAB005126
EIF4G2	CAB005163
PRKDC	CAB005167
ELF1	CAB005172
MAPK6	CAB005184
LGALS3	CAB005191
FASN	CAB005192
HCK	CAB005195
FGFR4	CAB005196
GAPDH	CAB005197
GDNF	CAB005210
HSPA9	CAB005219
HSPA5	CAB005221
HNRNPC	CAB005223
HSP90B1	CAB005224
GRB7	CAB005226
SMARCA5	CAB005227
HSP90AB1	CAB005230
ANP32A	CAB005231
SET	CAB005232
IL16	CAB005247
ELAVL1	CAB005256
ITGB4	CAB005258
IRS1	CAB005261
JUND	CAB005268
LMNB1	CAB005269
LAMP2	CAB005272
MET	CAB005282
MIF	CAB005284
CDKN3	CAB005285
CDKN2C	CAB005303
PAK1	CAB005312
MTA2	CAB005315
RAB1A	CAB005331
PLCB1	CAB005334
CRADD	CAB005337
RXRA	CAB005352
KHDRBS1	CAB005355
AK6	CAB005361
TBL1X	CAB005363
SHC1	CAB005374
ERCC2	CAB005375
PTPN11	CAB005377
NF2	CAB005385
RTN4	CAB005388
SMAD1	CAB005389
NOTCH3	CAB005393
